#,Player,Team,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,SEASON,LEAGUE
108,DeMarre Carroll,ATL,3,0,0,0,0,0,0,26,4,0.163,1.6,1.3,0.3,53,17,0.757,4.3,2.8,7.1,2015,NBA
109,Chandler Parsons,DAL,3,0,0,0,0,0,0,32,2,0.20600000000000002,1.7,0.7,0.2,41,25,0.621,3.9,1.6,5.5,2015,NBA
110,Tyler Zeller,BOS,3,0,0,0,0,0,0,26,0,0.142,1.5,0.2,0.3,40,42,0.488,4.6,1.9,6.5,2015,NBA
111,Brandan Wright,PHX,3,0,0,0,0,0,1,18,0,0.09300000000000001,1.2,1.5,0.3,37,38,0.493,4.4,1.8,6.2,2015,NBA
112,Jeremy Lin,LAL,3,0,0,0,0,0,0,29,0,0.22399999999999998,2.0,0.5,0.4,19,55,0.257,1.9,0.9,2.8,2015,NBA
113,Trey Burke,UTA,3,0,0,0,0,0,0,28,0,0.26,2.5,0.5,0.1,35,41,0.461,0.6,1.4,2.0,2015,NBA
114,Manu Ginobili,SAS,3,0,0,0,0,0,0,28,0,0.198,1.9,0.4,0.3,47,23,0.6709999999999999,1.4,2.3,3.7,2015,NBA
115,Corey Brewer,HOU,3,0,0,0,0,5,0,26,4,0.171,1.4,0.9,0.3,42,38,0.525,1.2,1.8,2.9,2015,NBA
116,Trevor Booker,UTA,3,0,0,0,0,0,0,36,5,0.111,0.9,0.5,0.3,37,42,0.46799999999999997,1.6,1.9,3.5,2015,NBA
117,Darren Collison,SAC,3,0,0,0,0,1,0,27,0,0.312,2.3,0.6,0.3,16,29,0.35600000000000004,3.1,0.8,3.9,2015,NBA
118,Wesley Johnson,LAL,3,0,0,0,0,0,0,22,0,0.145,1.4,0.7,0.2,20,56,0.263,1.0,0.7,1.7,2015,NBA
119,Ryan Anderson,NOP,3,0,0,0,0,0,0,32,3,0.15,0.9,0.5,0.2,33,28,0.541,2.7,0.6,3.4,2015,NBA
120,Kris Humphries,WAS,3,0,0,1,0,0,0,21,1,0.10800000000000001,1.2,0.7,0.3,37,27,0.578,1.6,2.0,3.6,2015,NBA
121,Kelly Olynyk,BOS,3,0,0,0,0,0,0,30,0,0.14300000000000002,1.1,0.7,0.3,31,33,0.484,1.6,2.0,3.6,2015,NBA
122,Jason Smith,NYK,3,0,0,0,0,0,0,25,4,0.138,1.3,0.3,0.3,17,65,0.207,0.4,0.7,1.1,2015,NBA
123,Kevin Garnett,MIN,3,0,0,0,0,0,0,18,8,0.127,1.7,1.0,0.1,20,27,0.426,0.4,1.7,2.0,2015,NBA
124,Carl Landry,SAC,3,0,0,0,0,0,0,18,2,0.084,0.5,0.3,0.4,26,44,0.371,2.3,0.5,2.8,2015,NBA
125,Meyers Leonard,POR,3,0,0,0,0,0,0,24,0,0.07400000000000001,0.8,0.3,0.1,32,23,0.5820000000000001,1.6,1.2,2.8,2015,NBA
126,Lou Amundson,NYK,3,0,0,0,0,0,0,17,1,0.096,1.1,0.3,0.3,17,36,0.321,-0.7,1.0,0.4,2015,NBA
127,Kyle O'Quinn,ORL,3,0,0,0,0,0,0,21,0,0.092,1.1,0.6,0.2,15,36,0.294,0.5,0.9,1.4,2015,NBA
128,Udonis Haslem,MIA,3,0,0,0,0,0,0,18,2,0.069,1.1,0.5,0.3,31,31,0.5,0.4,1.0,1.4,2015,NBA
129,Mitch McGary,OKC,3,0,0,0,0,0,0,20,0,0.078,0.5,0.5,0.2,20,12,0.625,0.7,0.5,1.2,2015,NBA
130,Adreian Payne,MIN,3,0,0,0,0,0,0,16,0,0.106,0.7,0.4,0.2,7,25,0.21899999999999997,-0.7,0.2,-0.6,2015,NBA
131,Jimmy Butler,CHI,4,0,0,0,0,3,1,35,2,0.267,2.2,1.2,0.5,40,25,0.615,8.2,2.9,11.1,2015,NBA
132,Goran Dragic,MIA,4,0,0,0,0,0,0,34,4,0.28,2.1,0.5,0.2,41,37,0.526,5.7,1.3,7.0,2015,NBA
133,Kemba Walker,CHA,4,0,1,0,0,1,0,42,5,0.317,3.1,0.9,0.3,21,41,0.33899999999999997,2.0,2.2,4.2,2015,NBA
134,P.J. Tucker,PHX,4,0,0,0,0,3,0,20,8,0.127,1.3,1.1,0.2,36,42,0.462,2.3,2.6,4.9,2015,NBA
135,DeMar DeRozan,TOR,4,0,1,0,0,1,0,42,6,0.27899999999999997,1.5,0.5,0.4,37,23,0.617,2.5,1.6,4.1,2015,NBA
136,D.J. Augustin,OKC,4,0,0,0,0,0,0,35,1,0.195,2.5,0.3,0.3,37,45,0.451,2.6,0.6,3.1,2015,NBA
137,Chris Kaman,POR,4,0,0,0,0,0,1,16,5,0.121,0.6,0.2,0.2,47,27,0.635,1.1,2.2,3.2,2015,NBA
138,Mario Chalmers,MIA,4,0,0,0,0,3,0,24,2,0.204,1.7,0.7,0.4,36,44,0.45,0.6,2.0,2.5,2015,NBA
139,Amar'e Stoudemire,DAL,4,0,0,0,0,1,1,26,3,0.146,0.6,0.4,0.4,19,40,0.322,2.7,1.1,3.8,2015,NBA
140,Derrick Rose,CHI,4,0,0,0,0,0,0,32,3,0.311,1.6,0.2,0.2,33,18,0.647,0.3,1.2,1.5,2015,NBA
141,Al-Farouq Aminu,DAL,4,0,0,0,0,2,1,17,3,0.07,1.1,1.3,0.3,45,29,0.608,1.2,2.0,3.3,2015,NBA
142,Luc Mbah a Moute,PHI,4,0,0,0,0,1,0,19,0,0.158,1.1,0.8,0.3,16,51,0.239,-0.9,2.0,1.1,2015,NBA
143,Zach LaVine,MIN,4,0,0,0,0,0,0,37,0,0.2,1.4,0.3,0.3,15,62,0.195,-0.7,-0.1,-0.8,2015,NBA
144,Henry Sims,PHI,4,0,0,0,0,0,0,22,2,0.129,0.8,0.4,0.3,14,59,0.192,0.6,1.4,2.0,2015,NBA
145,Kobe Bryant,LAL,4,2,1,0,0,1,0,44,4,0.354,1.6,0.4,0.3,10,25,0.28600000000000003,-0.3,0.4,0.0,2015,NBA
146,Lavoy Allen,IND,4,0,0,0,0,0,0,14,0,0.09300000000000001,1.8,0.4,0.2,29,34,0.46,1.3,1.5,2.8,2015,NBA
147,Jusuf Nurkic,DEN,4,0,0,0,0,0,1,17,3,0.095,0.6,0.6,0.3,21,41,0.33899999999999997,-0.1,1.7,1.6,2015,NBA
148,Thomas Robinson,PHI,4,0,0,0,0,0,0,16,1,0.08,0.6,0.6,0.4,26,28,0.48100000000000004,0.2,1.6,1.7,2015,NBA
149,Nicolas Batum,POR,5,0,0,0,0,0,0,27,1,0.21100000000000002,2.6,0.6,0.2,43,28,0.606,2.0,3.2,5.2,2015,NBA
150,Luol Deng,MIA,5,0,0,0,0,0,0,30,1,0.19899999999999998,1.2,0.6,0.3,33,39,0.45799999999999996,3.7,1.4,5.1,2015,NBA
151,Jarrett Jack,BRK,5,0,0,0,0,0,0,35,1,0.245,1.9,0.4,0.3,36,44,0.45,1.1,1.3,2.4,2015,NBA
152,Brandon Bass,BOS,5,0,0,0,0,0,0,23,1,0.14,1.3,0.5,0.3,40,42,0.488,3.5,1.8,5.3,2015,NBA
153,Marcus Morris,PHX,5,0,0,0,0,0,0,34,8,0.14800000000000002,1.9,0.9,0.1,39,42,0.48100000000000004,2.2,1.8,4.0,2015,NBA
154,Carmelo Anthony,NYK,5,0,1,0,0,0,0,46,1,0.327,1.3,0.4,0.3,10,30,0.25,2.7,0.6,3.3,2015,NBA
155,Jrue Holiday,NOP,5,0,0,0,0,1,0,30,0,0.33,3.0,0.7,0.1,20,20,0.5,2.2,0.9,3.1,2015,NBA
156,Dennis Schroder,ATL,5,0,0,0,0,1,0,24,4,0.20600000000000002,2.1,0.3,0.3,57,20,0.74,1.1,1.4,2.5,2015,NBA
157,Kevin Durant,OKC,5,0,2,0,0,0,0,44,4,0.32799999999999996,1.5,0.3,0.4,18,9,0.667,3.8,1.1,4.9,2015,NBA
158,Brandon Jennings,DET,5,0,0,0,1,0,0,37,3,0.326,3.0,0.5,0.3,17,24,0.415,2.5,0.9,3.4,2015,NBA
159,Alexis Ajinca,NOP,5,0,0,0,0,0,1,24,1,0.08900000000000001,0.7,0.3,0.3,41,27,0.603,1.9,1.4,3.2,2015,NBA
160,Tarik Black,LAL,5,0,0,0,0,0,0,18,0,0.08800000000000001,0.9,0.4,0.4,25,38,0.397,2.2,1.1,3.3,2015,NBA
161,Aron Baynes,SAS,5,0,0,0,0,0,0,18,2,0.081,0.5,0.2,0.3,49,21,0.7,2.3,1.5,3.9,2015,NBA
162,Damian Lillard,POR,6,0,2,0,0,0,0,43,1,0.34600000000000003,2.3,0.4,0.3,51,31,0.622,7.3,3.1,10.4,2015,NBA
163,Kyrie Irving,CLE,6,0,2,0,0,1,0,57,1,0.33899999999999997,2.1,0.6,0.3,52,23,0.693,8.5,1.8,10.3,2015,NBA
164,Dirk Nowitzki,DAL,6,0,0,0,0,0,0,30,5,0.20600000000000002,1.8,0.5,0.3,47,30,0.61,5.3,1.9,7.2,2015,NBA
165,Ed Davis,LAL,6,0,0,1,0,0,0,20,1,0.128,1.6,0.8,0.4,20,59,0.253,4.6,1.7,6.3,2015,NBA
166,Mike Conley,MEM,6,0,0,0,0,1,0,36,0,0.289,2.4,0.6,0.3,47,23,0.6709999999999999,4.0,2.5,6.5,2015,NBA
167,Andrew Bogut,GSW,6,0,0,0,0,0,4,16,0,0.13699999999999998,1.8,0.4,0.1,58,9,0.866,2.0,3.4,5.4,2015,NBA
168,Harrison Barnes,GSW,6,0,0,0,0,0,0,25,0,0.127,1.7,0.9,0.2,67,15,0.8170000000000001,3.8,2.8,6.7,2015,NBA
169,Amir Johnson,TOR,6,0,0,0,0,0,0,27,1,0.146,1.1,0.4,0.2,44,31,0.5870000000000001,3.4,1.6,5.0,2015,NBA
170,Robin Lopez,POR,6,0,0,0,0,0,1,21,3,0.126,0.8,0.2,0.3,38,21,0.644,3.2,1.7,5.0,2015,NBA
171,Bismack Biyombo,CHA,6,0,0,0,0,0,2,14,2,0.052000000000000005,0.3,0.3,0.9,26,38,0.406,1.8,2.2,3.9,2015,NBA
172,Cole Aldrich,NYK,6,0,0,0,0,0,1,24,0,0.10400000000000001,1.2,0.6,0.2,11,50,0.18,0.7,1.3,2.0,2015,NBA
173,Ersan Ilyasova,MIL,6,0,0,0,0,0,0,34,0,0.147,1.2,0.8,0.2,26,32,0.44799999999999995,2.4,1.5,3.9,2015,NBA
174,Evan Turner,BOS,7,3,0,0,0,1,0,30,2,0.24100000000000002,2.3,0.4,0.2,40,42,0.488,-0.2,2.8,2.6,2015,NBA
175,David West,IND,7,0,0,0,0,0,0,28,7,0.223,1.9,0.4,0.2,32,34,0.485,1.3,2.8,4.1,2015,NBA
176,Donatas Motiejunas,HOU,7,0,0,0,0,0,0,26,3,0.184,1.1,0.5,0.2,48,23,0.6759999999999999,2.5,2.3,4.8,2015,NBA
177,Chris Bosh,MIA,7,0,0,0,0,0,1,34,0,0.29100000000000004,1.0,0.4,0.3,19,25,0.43200000000000005,1.9,1.2,3.2,2015,NBA
178,Jason Thompson,SAC,7,0,0,1,0,0,0,23,6,0.096,1.0,0.4,0.3,29,52,0.358,0.9,1.4,2.3,2015,NBA
179,Ricky Rubio,MIN,7,1,0,0,0,0,0,18,0,0.33799999999999997,3.0,0.6,0.3,7,15,0.318,0.1,0.8,0.9,2015,NBA
180,Wilson Chandler,DEN,8,0,0,0,0,0,0,32,0,0.188,1.2,0.5,0.1,28,50,0.359,2.2,1.5,3.7,2015,NBA
181,Nikola Mirotic,CHI,8,0,0,0,0,0,1,29,0,0.11699999999999999,1.1,0.6,0.5,50,32,0.61,3.0,2.6,5.6,2015,NBA
182,Taj Gibson,CHI,8,0,0,0,0,0,2,23,3,0.141,0.9,0.5,0.4,38,24,0.613,2.7,2.0,4.7,2015,NBA
183,Terrence Jones,HOU,8,0,0,0,0,0,2,26,2,0.16,1.0,0.5,0.3,24,9,0.727,1.7,1.3,2.9,2015,NBA
184,Luis Scola,IND,9,0,0,0,0,0,0,23,0,0.13699999999999998,1.1,0.5,0.4,37,44,0.457,1.6,2.6,4.2,2015,NBA
185,J.J. Hickson,DEN,9,0,0,0,0,0,0,16,0,0.099,0.6,0.4,0.4,26,47,0.35600000000000004,0.5,1.3,1.8,2015,NBA
186,Jeff Teague,ATL,10,0,0,0,0,0,0,28,1,0.332,2.5,0.6,0.4,53,20,0.726,5.0,2.7,7.7,2015,NBA
187,Giannis Antetokounmpo,MIL,10,0,0,0,0,1,0,29,2,0.19399999999999998,1.2,0.4,0.4,41,40,0.506,2.2,3.9,6.2,2015,NBA
188,Carlos Boozer,LAL,10,0,0,0,0,0,0,28,2,0.177,1.0,0.4,0.2,18,53,0.254,1.3,1.0,2.2,2015,NBA
189,Steven Adams,OKC,10,0,0,1,0,0,2,16,4,0.105,0.7,0.4,0.5,37,33,0.529,1.9,2.1,4.0,2015,NBA
190,Alex Len,PHX,10,0,0,0,0,0,6,19,1,0.077,0.4,0.5,0.3,35,34,0.507,1.4,2.0,3.4,2015,NBA
191,Tobias Harris,ORL,11,0,0,0,0,1,0,34,3,0.223,1.1,0.6,0.3,20,48,0.294,3.0,1.9,4.9,2015,NBA
192,Deron Williams,BRK,11,0,0,0,0,0,0,31,3,0.293,2.9,0.4,0.3,34,34,0.5,2.4,1.4,3.8,2015,NBA
193,Michael Carter-Williams,MIL,11,3,0,0,0,3,0,30,4,0.35200000000000004,1.8,0.4,0.3,21,45,0.318,-2.0,2.9,0.9,2015,NBA
194,Nikola Pekovic,MIN,11,0,0,0,0,0,0,29,1,0.15,0.6,0.5,0.4,9,22,0.29,1.0,0.5,1.6,2015,NBA
195,Elfrid Payton,ORL,12,2,0,0,0,3,0,22,1,0.271,2.6,0.7,0.3,25,57,0.305,-0.0,2.3,2.3,2015,NBA
196,Markieff Morris,PHX,12,0,0,0,0,1,0,35,15,0.222,1.2,0.6,0.2,39,43,0.47600000000000003,2.0,2.6,4.6,2015,NBA
197,Mason Plumlee,BRK,12,0,0,0,0,0,0,24,1,0.115,0.7,0.6,0.6,38,44,0.46299999999999997,2.4,2.2,4.7,2015,NBA
198,Jared Sullinger,BOS,12,0,0,0,0,0,0,27,2,0.195,1.8,0.6,0.2,26,32,0.44799999999999995,2.0,1.9,3.9,2015,NBA
199,Michael Kidd-Gilchrist,CHA,12,0,0,0,0,0,0,23,1,0.153,1.2,0.5,0.4,27,28,0.491,1.6,2.7,4.3,2015,NBA
200,Eric Bledsoe,PHX,13,2,0,0,0,1,0,34,10,0.306,1.8,0.5,0.4,39,42,0.48100000000000004,4.3,2.7,7.0,2015,NBA
201,Kyle Lowry,TOR,13,2,0,0,0,2,0,39,8,0.34,2.7,0.6,0.3,43,27,0.614,5.1,2.1,7.2,2015,NBA
202,Omer Asik,NOP,13,0,0,0,0,0,2,16,1,0.099,0.7,0.3,0.5,43,33,0.5660000000000001,2.7,2.3,4.9,2015,NBA
203,Mo Williams,CHA,13,0,1,0,0,0,0,52,3,0.306,2.5,0.3,0.2,20,48,0.294,1.7,0.4,2.1,2015,NBA
204,Al Horford,ATL,14,1,0,0,0,1,0,28,2,0.263,2.4,0.7,0.1,56,20,0.737,5.2,3.5,8.7,2015,NBA
205,Kawhi Leonard,SAS,14,0,0,0,0,5,1,26,0,0.222,1.7,1.5,0.3,46,18,0.7190000000000001,4.3,4.5,8.8,2015,NBA
206,Tristan Thompson,CLE,14,0,0,0,0,0,0,24,2,0.099,0.5,0.4,0.5,53,29,0.6459999999999999,4.6,2.0,6.6,2015,NBA
207,Paul Millsap,ATL,15,0,0,0,0,1,0,30,3,0.24,1.3,0.8,0.4,55,18,0.753,4.1,4.2,8.2,2015,NBA
208,Joakim Noah,CHI,15,0,0,0,0,0,2,18,6,0.205,2.5,0.4,0.4,39,28,0.5820000000000001,2.4,2.8,5.2,2015,NBA
209,Reggie Jackson,DET,15,2,0,0,1,0,0,31,1,0.306,2.5,0.3,0.2,37,40,0.48100000000000004,3.1,1.8,5.0,2015,NBA
210,Josh Smith,HOU,15,0,0,0,0,0,1,25,8,0.225,1.4,0.4,0.3,41,42,0.494,-1.0,3.0,2.0,2015,NBA
211,Rajon Rondo,DAL,15,3,0,0,0,0,0,29,2,0.304,2.6,0.4,0.1,34,34,0.5,-0.6,2.3,1.7,2015,NBA
212,Zaza Pachulia,MIL,15,0,0,1,0,2,0,22,3,0.153,1.3,0.6,0.3,34,39,0.466,1.3,2.8,4.1,2015,NBA
213,Brook Lopez,BRK,17,0,0,0,0,0,4,35,1,0.20600000000000002,0.5,0.4,0.3,34,38,0.47200000000000003,4.8,2.2,7.0,2015,NBA
214,Serge Ibaka,OKC,17,0,0,1,0,0,8,27,3,0.175,0.6,0.3,0.1,35,29,0.547,2.8,2.9,5.7,2015,NBA
215,Blake Griffin,LAC,18,0,2,0,0,0,0,45,12,0.35200000000000004,2.3,0.4,0.4,47,20,0.701,6.8,2.2,9.1,2015,NBA
216,Tyreke Evans,NOP,18,1,0,0,0,0,0,34,2,0.349,2.1,0.4,0.2,43,36,0.544,2.2,2.1,4.3,2015,NBA
217,Draymond Green,GSW,18,1,0,1,0,4,1,31,10,0.192,2.3,1.0,0.3,64,15,0.81,3.5,5.0,8.5,2015,NBA
218,Gorgui Dieng,MIN,18,0,0,0,0,1,3,22,0,0.151,1.2,0.6,0.5,16,57,0.21899999999999997,3.5,1.7,5.2,2015,NBA
219,Nerlens Noel,PHI,18,0,0,0,0,4,6,30,1,0.171,0.9,0.9,0.4,18,57,0.24,-0.2,4.3,4.2,2015,NBA
220,Timofey Mozgov,CLE,18,0,0,0,0,0,2,20,6,0.11900000000000001,0.5,0.3,0.4,49,32,0.605,3.6,2.3,5.9,2015,NBA
221,Roy Hibbert,IND,18,0,0,0,0,0,7,29,7,0.145,0.8,0.2,0.3,34,42,0.447,1.0,3.1,4.1,2015,NBA
222,Marc Gasol,MEM,20,0,0,0,0,0,2,33,6,0.273,1.7,0.4,0.4,55,26,0.679,5.3,4.7,10.0,2015,NBA
223,James Harden,HOU,21,4,10,0,0,3,0,51,5,0.405,1.8,0.5,0.6,56,25,0.691,12.5,4.0,16.6,2015,NBA
224,LeBron James,CLE,22,2,3,0,0,2,0,42,5,0.429,1.8,0.4,0.4,50,19,0.725,7.7,2.9,10.6,2015,NBA
225,Marcin Gortat,WAS,22,0,0,0,0,0,0,24,4,0.171,1.0,0.5,0.2,46,36,0.561,4.4,4.1,8.4,2015,NBA
226,Jonas Valanciunas,TOR,22,0,0,0,0,0,1,31,3,0.136,0.4,0.3,0.4,47,33,0.588,5.8,2.3,8.1,2015,NBA
227,Al Jefferson,CHA,22,0,0,0,0,0,1,34,3,0.256,1.6,0.7,0.2,25,40,0.385,1.2,3.2,4.5,2015,NBA
228,Hassan Whiteside,MIA,22,1,0,4,0,0,10,24,7,0.146,0.1,0.5,0.4,18,30,0.375,2.9,2.4,5.3,2015,NBA
229,Jordan Hill,LAL,22,0,0,0,0,0,0,26,1,0.177,1.0,0.3,0.2,19,51,0.271,1.1,1.2,2.3,2015,NBA
230,Stephen Curry,GSW,23,0,3,0,0,3,0,51,2,0.381,2.6,0.7,0.3,67,13,0.838,11.9,4.0,15.9,2015,NBA
231,Derrick Favors,UTA,23,0,0,0,0,0,2,32,0,0.228,0.9,0.5,0.4,33,41,0.446,4.8,3.3,8.1,2015,NBA
232,Dwight Howard,HOU,23,0,0,0,0,0,1,32,6,0.19699999999999998,0.4,0.2,0.6,29,12,0.7070000000000001,1.7,2.0,3.7,2015,NBA
233,Rudy Gobert,UTA,25,0,0,3,0,0,7,20,3,0.127,0.9,0.6,0.6,38,44,0.46299999999999997,4.9,4.2,9.1,2015,NBA
234,Kenneth Faried,DEN,26,0,0,1,0,0,0,30,9,0.162,0.8,0.5,0.4,30,45,0.4,3.7,2.0,5.7,2015,NBA
235,Ty Lawson,DEN,28,0,0,0,0,0,0,32,0,0.39399999999999996,4.0,0.5,0.4,29,46,0.387,6.1,0.9,7.0,2015,NBA
236,Russell Westbrook,OKC,31,11,9,0,0,5,0,54,15,0.451,2.0,0.5,0.4,40,27,0.597,8.0,2.7,10.7,2015,NBA
237,Tyson Chandler,DAL,31,0,0,3,0,0,1,22,11,0.125,0.8,0.4,0.6,47,28,0.627,7.2,3.1,10.3,2015,NBA
238,Enes Kanter,OKC,31,0,0,0,0,0,0,30,5,0.191,0.4,0.2,0.3,32,43,0.42700000000000005,4.6,1.1,5.7,2015,NBA
239,Tim Duncan,SAS,33,1,0,0,0,0,4,32,1,0.214,1.8,0.5,0.4,53,24,0.688,4.9,4.6,9.6,2015,NBA
240,Greg Monroe,DET,35,0,0,2,0,0,0,29,4,0.221,0.9,0.5,0.4,25,44,0.36200000000000004,4.0,2.6,6.7,2015,NBA
241,Kevin Love,CLE,38,0,0,0,0,0,0,32,1,0.205,1.3,0.4,0.3,50,25,0.667,5.8,3.0,8.8,2015,NBA
242,Zach Randolph,MEM,38,0,0,2,0,0,0,27,6,0.226,1.0,0.4,0.3,51,20,0.718,3.4,4.0,7.3,2015,NBA
243,LaMarcus Aldridge,POR,39,0,0,0,0,1,1,39,2,0.28300000000000003,1.0,0.4,0.3,48,23,0.6759999999999999,5.1,3.7,8.8,2015,NBA
244,Chris Paul,LAC,40,1,1,0,0,4,0,41,5,0.436,4.4,0.8,0.3,56,26,0.6829999999999999,12.9,3.1,16.0,2015,NBA
245,John Wall,WAS,40,0,0,0,0,3,0,34,6,0.434,2.6,0.5,0.3,45,34,0.57,3.5,4.2,7.7,2015,NBA
246,Anthony Davis,NOP,42,0,3,0,0,2,12,43,2,0.304,1.5,1.0,0.4,39,29,0.574,9.9,4.2,14.2,2015,NBA
247,Nikola Vucevic,ORL,45,0,0,1,0,0,0,37,3,0.281,1.0,0.4,0.2,21,53,0.284,4.5,2.5,7.0,2015,NBA
248,DeAndre Jordan,LAC,47,0,0,13,0,1,5,26,9,0.136,0.6,0.7,0.9,56,26,0.6829999999999999,7.4,5.2,12.6,2015,NBA
249,DeMarcus Cousins,SAC,47,2,0,4,0,1,1,39,14,0.32799999999999996,0.8,0.4,0.5,23,36,0.39,3.0,3.2,6.3,2015,NBA
250,Andre Drummond,DET,48,0,0,11,0,0,6,32,4,0.18100000000000002,0.5,0.6,0.4,32,50,0.39,3.3,4.3,7.6,2015,NBA
251,Pau Gasol,CHI,54,0,1,1,0,0,4,46,0,0.273,1.3,0.2,0.3,48,30,0.615,6.0,4.3,10.3,2015,NBA
1,Khris Middleton,MIL,1,0,0,0,0,5,0,36,6,0.27699999999999997,1.8,0.7,0.3,33,46,0.418,4.3,1.8,6.1,2016,NBA
2,Trevor Ariza,HOU,1,0,0,0,0,2,0,31,3,0.17800000000000002,1.7,1.4,0.2,40,41,0.494,3.2,2.1,5.3,2016,NBA
3,Andrew Wiggins,MIN,1,0,0,0,0,2,0,35,2,0.248,0.9,0.4,0.4,29,52,0.358,3.4,0.5,4.0,2016,NBA
4,Monta Ellis,IND,1,0,0,0,0,2,0,32,2,0.264,1.9,0.7,0.2,44,37,0.5429999999999999,0.5,3.7,4.2,2016,NBA
5,Jordan Clarkson,LAL,1,0,0,0,0,0,0,30,2,0.24,1.4,0.7,0.2,17,62,0.215,1.7,0.5,2.2,2016,NBA
6,Kent Bazemore,ATL,1,0,0,0,0,2,0,28,7,0.168,1.3,0.7,0.2,44,31,0.5870000000000001,0.4,3.7,4.0,2016,NBA
7,Kentavious Caldwell-Pope,DET,1,0,0,0,0,0,0,31,3,0.188,1.3,1.0,0.2,41,35,0.539,2.6,2.8,5.4,2016,NBA
8,Kyrie Irving,CLE,1,0,0,0,0,0,0,35,0,0.31,2.0,0.4,0.2,37,16,0.698,3.4,1.4,4.8,2016,NBA
9,Jose Calderon,NYK,1,0,0,0,0,0,0,23,3,0.191,3.4,0.7,0.1,29,43,0.40299999999999997,2.6,1.3,3.9,2016,NBA
10,D'Angelo Russell,LAL,1,0,0,0,0,0,0,39,2,0.233,1.4,0.5,0.2,17,63,0.212,-0.7,0.7,0.0,2016,NBA
11,Jeff Green,LAC,1,0,0,0,0,0,0,30,0,0.166,1.5,0.6,0.3,48,32,0.6,1.1,2.1,3.2,2016,NBA
12,Patrick Beverley,HOU,1,0,0,0,0,3,0,22,8,0.185,2.7,1.1,0.1,35,36,0.493,3.1,1.2,4.3,2016,NBA
13,Jeremy Lin,CHA,1,0,0,0,0,2,0,35,1,0.185,1.6,0.4,0.4,47,31,0.603,1.2,2.3,3.6,2016,NBA
14,Derrick Rose,CHI,1,0,0,0,0,0,0,34,6,0.298,1.8,0.3,0.2,32,34,0.485,-0.7,1.3,0.5,2016,NBA
15,David West,SAS,1,0,0,0,0,0,1,18,3,0.12300000000000001,2.1,0.6,0.2,63,15,0.8079999999999999,2.4,2.9,5.3,2016,NBA
16,J.R. Smith,CLE,1,0,0,0,0,0,0,27,5,0.163,2.1,1.3,0.1,53,24,0.688,3.0,2.3,5.3,2016,NBA
17,Langston Galloway,NYK,1,0,0,0,0,1,0,21,0,0.145,3.3,1.2,0.2,32,50,0.39,1.4,1.8,3.2,2016,NBA
18,Harrison Barnes,GSW,1,0,0,0,0,0,0,21,0,0.145,2.1,0.7,0.2,59,7,0.894,3.1,1.7,4.9,2016,NBA
19,Thabo Sefolosha,ATL,1,0,0,0,0,1,0,15,0,0.102,1.6,1.3,0.3,42,33,0.56,1.3,3.1,4.5,2016,NBA
20,Andre Iguodala,GSW,1,0,0,0,0,1,0,20,3,0.142,2.9,1.0,0.2,59,6,0.9079999999999999,2.4,2.0,4.4,2016,NBA
21,Arron Afflalo,NYK,1,0,0,0,0,0,0,38,1,0.19,1.7,0.3,0.2,27,44,0.38,1.7,0.8,2.4,2016,NBA
22,Matt Dellavedova,CLE,1,0,0,0,0,0,0,20,0,0.18600000000000003,2.8,0.4,0.1,54,22,0.711,2.1,1.6,3.6,2016,NBA
23,Frank Kaminsky,CHA,1,0,0,0,0,0,0,23,0,0.105,1.7,0.6,0.3,47,34,0.58,1.2,2.1,3.3,2016,NBA
24,Kelly Olynyk,BOS,1,0,0,0,0,0,0,28,1,0.132,1.5,0.7,0.2,40,29,0.58,2.1,2.0,4.1,2016,NBA
25,Aron Baynes,DET,1,0,0,0,0,0,0,21,0,0.08,0.8,0.3,0.4,43,38,0.531,2.4,1.7,4.0,2016,NBA
26,Bojan Bogdanovic,BRK,1,0,1,0,0,0,0,44,2,0.139,0.9,0.3,0.2,21,58,0.266,0.8,-0.0,0.8,2016,NBA
27,Tony Allen,MEM,1,0,0,0,0,1,0,27,2,0.121,0.9,1.4,0.3,34,30,0.531,0.5,2.0,2.5,2016,NBA
28,Terrence Ross,TOR,1,0,0,0,0,0,0,27,2,0.122,1.2,1.1,0.1,53,20,0.726,2.0,1.6,3.6,2016,NBA
29,Jeremy Lamb,CHA,1,0,0,0,0,0,0,22,0,0.125,1.5,0.8,0.2,40,26,0.606,1.0,1.8,2.8,2016,NBA
30,Kyle Anderson,SAS,1,0,0,0,0,1,0,15,0,0.084,2.0,1.0,0.3,64,14,0.821,0.6,2.8,3.4,2016,NBA
31,Jerryd Bayless,MIL,1,0,0,0,0,0,0,26,1,0.17800000000000002,2.2,0.6,0.2,21,31,0.40399999999999997,1.8,0.4,2.1,2016,NBA
32,Maybyner Nene,WAS,1,0,0,0,0,1,0,20,4,0.136,1.3,0.7,0.5,28,29,0.491,1.2,1.6,2.8,2016,NBA
33,Lance Stephenson,MEM,1,0,0,0,0,0,0,33,6,0.138,1.4,0.5,0.2,36,33,0.522,0.9,1.1,2.0,2016,NBA
